bot,top,ALLY,Miss Fortune,Mordekaiser,0.1
bot,top,ALLY,Miss Fortune,Garen,-0.06
bot,top,ALLY,Miss Fortune,Sett,-0.07
bot,top,ALLY,Miss Fortune,Darius,-0.35
bot,top,ALLY,Miss Fortune,Malphite,-0.38
bot,top,ALLY,Miss Fortune,Jax,0.25
bot,top,ALLY,Miss Fortune,Yorick,0.74
bot,top,ALLY,Miss Fortune,Dr. Mundo,0.61
bot,top,ALLY,Miss Fortune,Nasus,0.26
bot,top,ALLY,Miss Fortune,Teemo,1.01
bot,top,ALLY,Miss Fortune,Kayle,0.16
bot,top,ALLY,Miss Fortune,Volibear,0.47
bot,top,ALLY,Miss Fortune,Aatrox,-0.44
bot,top,ALLY,Miss Fortune,Renekton,0.17
bot,top,ALLY,Miss Fortune,Yone,-0.27
bot,top,ALLY,Miss Fortune,Varus,-0.84
bot,top,ALLY,Miss Fortune,Zaahen,-0.62
bot,top,ALLY,Miss Fortune,Gwen,-0.63
bot,top,ALLY,Miss Fortune,Ornn,0.27
bot,top,ALLY,Miss Fortune,Sion,0.16
bot,top,ALLY,Miss Fortune,Irelia,-1.03
bot,top,ALLY,Miss Fortune,Cho'Gath,-0.15
bot,top,ALLY,Miss Fortune,Gangplank,-1.23
bot,top,ALLY,Miss Fortune,Illaoi,0.51
bot,top,ALLY,Miss Fortune,Riven,-1.46
bot,top,ALLY,Miss Fortune,Urgot,0.89
bot,top,ALLY,Miss Fortune,Tryndamere,-0.12
bot,top,ALLY,Miss Fortune,Vayne,-0.87
bot,top,ALLY,Miss Fortune,Gnar,0.05
bot,top,ALLY,Miss Fortune,Yasuo,0.05
bot,top,ALLY,Miss Fortune,Fiora,-0.62
bot,top,ALLY,Miss Fortune,Shen,-0.85
bot,top,ALLY,Miss Fortune,Tahm Kench,0.94
bot,top,ALLY,Miss Fortune,Kennen,0.27
bot,top,ALLY,Miss Fortune,Ambessa,-0.27
bot,top,ALLY,Miss Fortune,K'Sante,-0.26
bot,top,ALLY,Miss Fortune,Singed,-0.32
bot,top,ALLY,Miss Fortune,Trundle,0.73
bot,top,ALLY,Miss Fortune,Rumble,0.31
bot,top,ALLY,Miss Fortune,Olaf,-0.83
bot,top,ALLY,Miss Fortune,Jayce,-0.5
bot,top,ALLY,Miss Fortune,Heimerdinger,0.55
bot,top,ALLY,Miss Fortune,Akali,0.13
bot,top,ALLY,Miss Fortune,Vladimir,-0.58
bot,top,ALLY,Miss Fortune,Pantheon,-0.45
bot,top,ALLY,Miss Fortune,Quinn,0.11
bot,top,ALLY,Miss Fortune,Kled,0.04
bot,top,ALLY,Miss Fortune,Camille,-1.21
bot,top,ALLY,Miss Fortune,Gragas,-0.36
bot,top,ALLY,Miss Fortune,Warwick,0.46
bot,top,ALLY,Miss Fortune,Ryze,0.1
bot,top,ALLY,Miss Fortune,Swain,0.62
bot,top,ALLY,Miss Fortune,Poppy,-0.87
bot,top,ALLY,Miss Fortune,Sylas,0.47
bot,top,ALLY,Miss Fortune,Master Yi,-0.13
bot,top,ALLY,Miss Fortune,Wukong,-0.41
bot,top,ALLY,Miss Fortune,Smolder,-1.53
bot,top,ALLY,Miss Fortune,Naafiri,2.02
bot,top,ALLY,Miss Fortune,Malzahar,1.29
bot,top,ALLY,Miss Fortune,Cassiopeia,0.51
bot,top,ALLY,Miss Fortune,Sejuani,0.38
bot,top,ALLY,Miss Fortune,Kayn,0.5
bot,top,ALLY,Miss Fortune,Aurora,0.98
bot,top,ALLY,Miss Fortune,Viego,-0.11
bot,top,ALLY,Miss Fortune,Udyr,0.02
bot,top,ALLY,Miss Fortune,Zac,0.55
bot,top,ALLY,Miss Fortune,Briar,0.96
bot,top,ALLY,Miss Fortune,Anivia,0.76
bot,top,ALLY,Miss Fortune,Maokai,1.14
bot,top,ALLY,Miss Fortune,Galio,-0.92
bot,top,ALLY,Miss Fortune,Rengar,-1.44
bot,top,ALLY,Miss Fortune,Brand,0
bot,top,ALLY,Miss Fortune,Caitlyn,0.88
bot,top,ALLY,Miss Fortune,Zed,-1.46
bot,top,ALLY,Miss Fortune,Veigar,1.89
bot,top,ALLY,Miss Fortune,Lee Sin,0.4
bot,top,ALLY,Miss Fortune,Xin Zhao,-1.52
bot,top,ALLY,Miss Fortune,Fiddlesticks,-0.8
